names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
"I’m Up, I’m Up",4/7/2023,0,"Romance, Comedy","Awkward college student Peter lives a simple life, attending school and performing stand-up to an often drunk audience at the local comedy club. One night, Madison, a young tennis player, asks him post-show to join her at a diner, where they talk about life and their futures.","Nia Beane, Madison, Aaron Cohen, Peter, Josh Mandel, Josh (voice)","I’m Up, I’m Up", Released, English,213940000,178359863,US
Honto ni Atta! Noroi no Video 101,4/7/2023,0,Horror,The real curse freak is proliferating all over Japan! A monumental psychic documentary.,"Yuki Fujimoto, , Yoshihiro Nakamura, Narrator (voice)", ???????!??????101, Released, Japanese,195000000,175269998.8,JP
"Days of Fire, Love and Anarchy",4/7/2023,0,Documentary,"In 1961, the young writer Onat Kutlar goes to Paris to study philosophy. After discovering his passion for cinema at the Cinémathèque Française he decides to found a Cinematheque in Istanbul to bring the world of art cinema to Turkey. Although the Turkish Sinematek came to a tragic end in 1980, it quickly established an intellectual film culture that continues to influence Turkey today.","Mete Akalin, Self, Cevat Çapan, Self, Atilla Dorsay, Self, Burçak Evren, Self, Mustafa Göçmen, Self, Onat Kutlar, Self (archive footage), Seza Kutlar Aksoy, Self, Filiz Kutlar, Self, Mazlum Kutlar, Self"," Ask, Ates ve Anarsi Günleri: Türk Sinemateki ve Onat Kutlar", Released, Turkish,241940000,175269998.8,TR
Mayaa,4/7/2023,0,Crime,Raajhorshee De's Macbeth.,"Gaurav Chakrabarty, , Kamaleswar Mukherjee, , Rahul Banerjee, , Gourab Chatterjee, , Kan Singh Sodha, , Ishaan Mazumdar, , Anindya Chatterjee, , Ashim Roy Chowdhury, , Rafiath Rashid Mithila, ", ?????, Released, Bengali,193940000,178359863,IN
Tulliana,4/7/2023,0,,"Two zoologists seeking the extinct Anatolian panther search for its traces in the deep forests of Anatolia. Veysel believes the almost mythical panther embodies something beyond an animal, an element that Anatolian people have lost and are still looking for. For Emre, only the idea of photographing the absent Anatolian panther excites him. They manage to capture an obscure image of the large cat, but they can’t prove it is the panther’s. The two friend are surprised and disturbed when they see stuffed panthers at the offices of some bureaucrats. A secret Veysel reveals to Emre in Hacibektas changes both of them. Will searching for something non-existent destroy them, too?","Görkem Kasal, , Münircan Cindoruk, , Ali Seçkiner Alici, , Feridun Koç, , Tarhan Karagöz, , Muttalip Müjdeci, , Sencar Sagdiç, , Sezin Bozaci, ", Bars, Released, Turkish,167540000,175269998.8,TR
Grenfell,4/7/2023,0,Documentary,"In December 2017 Steve McQueen made an artwork in response to the fire that took place earlier that year on 14 June at Grenfell Tower in North Kensington, West London. 72 people died in the tragedy. Filming the tower before it was covered with hoarding, McQueen sought to create a record so that it would not be forgotten.",,Grenfell, Released, No Language,241940000,175269998.8,GB
Mitat,4/7/2023,0,"Comedy, Drama","It tells the life of Mitat Karaman, who has an extremely ordinary life who goes from home to work, from work to home, when she wakes up one night when the bell rings and opens the door of the apartment by pressing the doorphone button.","Kadir Dogulu, Mitat Karaman, Sinan Albayrak, Kadim Bey, Dilek Serbest, Yildiz Hanim, Bülent Çolak, , Ipek Filiz Yazici, , Eva Dedova, Ceylan, Zeliha Çetinkaya, Meryem, Beyti Engin, , Gürhan Elmalioglu, ",Mitat, Released, Turkish,193540000,175269998.8,TR
Reminiscence,4/7/2023,0,"Drama, Romance","After two exes are invited to the same party and get sucked into playing a personal card game, the two recount some key moments in their relationship.","Tristan Noller, Charlie, Ella Kempker, Mia, Rafe Donnenwerth, Nick, Renae Richmond, Jess, Luke Parrett, Luke",Reminiscence, Released, English,67972729,15449322,US
Excuse Me,4/7/2023,0,,A therapist deals with an unruly patient as they navigate the inner workings of his mind.,"Benedict Cezair-Thompson, Gene, Latasha Thompson, Danielle",Excuse Me, Released, English,100,1240261.6,US
Questions for Memories,4/7/2023,0,Documentary,"Four friends reflect on a road trip through Mexico, sifting through fragments of super 8mm, evoking questions of home, family and textures of memory itself.","Abel Ortega, Himself, María Isabel Reyes, Herself, Nicolas Anderson, Himself, Anderson Matthew, Himself",Questions for Memories, Released, English,241940000,175269998.8,UY
Hilda Crack 7,4/7/2023,0,"Comedy, Animation",Newest edition of the Hilda Crack series of films.,,Hilda Crack 7, Released, English,156600000,175269998.8,US
Racer,4/7/2023,0,"Action, Drama",Ashwin who has aspired to become a professional bike racer since his childhood faces rejection from his father to pursue racing. Will Ashwin follow his dream when he gets a chance to race for an independent Pro-Street Championship or will he sacrifice his dream for his family forms the crux of the movie.,"Akil Santhosh, , Lavanya, , Arumugam Bala, , Subramanian Mathavan, ", ?????, Released, Tamil,183540000,178359863,IN
Simsalabim,4/7/2023,0,"Music, Documentary","Through four nights of musical magic at Ullevi, Gothenburg, Håkan Hellström cemented himself as one of Sweden's greats last year. Edited together, this is a concert film of epic proportions and a musical euphoria.","Håkan Hellström, , Stefan Sporsén, , Finn Björnulfson, , Mattias Hellberg, , Labbe Grimelund, , Nils Berg, , Oscar Wallblom, , Simon Ljungman, , LaGaylia Frazier, ", Simsalabim – Rekordkonserten med Håkan på Ullevi, Released, Swedish,141600000,175269998.8,SE
77+33=?,4/7/2023,0,"Documentary, Mystery, Adventure",Test the average IQ of Vietnamese people with brain-hacking questions.,"Minh Tu Le, B?n, Nguy?n Phan Thái Vu, Tôi, H?i Duong, Ð?c Minh Hoàng, Huong Thu Chan, cô gái nhìn indie, Ð?c Minh Hoàng, (Voice), Son Kh?ng Long, (Voice)",77+33=?, Released, Vietnamese,22,1232396.2,VN
The Pope's Exorcist,4/6/2023,72,"Horror, Mystery","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","Russell Crowe, Father Gabriele Amorth, Daniel Zovatto, Father Esquibel, Alex Essoe, Julia, Franco Nero, The Pope, Laurel Marsden, Amy, Cornell John, Bishop Lumumba, Ralph Ineson, Demon (voice), River Hawkins, Enzo, Pablo Raybould, Bishop Barbuto",The Pope's Exorcist, Released, English,92000000,462216471.8,AU
On a Wing and a Prayer,4/6/2023,65,"Drama, Thriller","After their pilot dies unexpectedly mid-flight, passenger Doug White must safely land a plane and save his entire family from insurmountable danger.","Dennis Quaid, Doug White, Heather Graham, Terri White, Jesse Metcalfe, Jesse White, Abbey Rhyne, Bailey White, Jessi Case, Maggie White, Brett Rice, Jeff White, Rocky Myers, Dan Favio, Selena Anduze, Lisa Grimm, E. Roger Mitchell, Brian Norton",On a Wing and a Prayer, Released, English,147400000,445526734.8,US
La extorsión,4/6/2023,80,Thriller,An experienced commercial pilot is forced to collaborate with his country's intelligence services to avoid being punished for a serious fault he committed on the job. He is quickly plunged into an underworld of intrigue and extortion that will put his life at risk and he will pay a very high price to escape from it.,"Guillermo Francella, , Pablo Rago, , Andrea Frigerio, , Carlos Portaluppi, , Alberto Ajaka, , Guillermo Arengo, , Mónica Villa, ",La extorsión, Released," Spanish, Castilian",151860000,485525698.4,AR
EO,4/6/2023,66,Drama,"The world is a mysterious place when seen through the eyes of an animal. EO, a grey donkey with melancholic eyes, meets good and bad people on his life’s path, experiences joy and pain, endures the wheel of fortune randomly turn his luck into disaster and his despair into unexpected bliss. But not even for a moment does he lose his innocence.","Sandra Drzymalska, Kasandra, Isabelle Huppert, The Countess, Lorenzo Zurzolo, Vito, Mateusz Kosciukiewicz, Mateo, Tomasz Organek, Ziom, Lolita Chammah, Dora, Agata Sasinowska, Kaja, Anna Rokita, Dorota, Michal Przybyslawski, Zenek", IO, Released, Polish,47220616.4,319773152.6,AU
Mavka: The Forest Song,4/6/2023,75,"Fantasy, Animation, Adventure, Family","Mavka — a Soul of the Forest and its Warden — faces an impossible choice between love and her duty as guardian to the Heart of the Forest, when she falls in love with a human — the talented young musician Lukas.","Nataliia Denysenko, Mavka (voice), Artem Pyvovarov, Lucas (voice), Nazar Zadniprovskyi, Lesh (voice), Oleh Skripka, The One, Who Sits in the Rock (voice), Olena Kravets, Kylina (voice), Serhii Prytula, Frol (voice), Oleh Mykhailiuta, Uncle Leo (voice), Nataliia Sumska, The Healer (voice), Yuliia Sanina, Ondina (voice)", ?????: ?????? ?????, Released, Ukrainian,5000000,92963545.6,AU
Grosso guaio all'Esquilino - La leggenda del Kung Fu,4/6/2023,54,Comedy,"Davide is a shy and nerdy thirteen-year-old who lives with his mother Asia in Rome, in the Esquilino district. He spends his days with his friend Yang, constantly trying to escape from the school bully, Nadir, and dreams of winning Yasmin's heart. Davide tries to regain self-confidence thanks to the arrival in his life of Martino, a failed B-Movie actor who, in order to survive, pretends to be the supreme connoisseur of the martial art of Kung Fu.","Lillo Petrolo, Martino, Carolina Crescentini, Asia, Riccardo Antonaci, Davide, Ludovica Nasti, Yasmin, Yoon C. Joyce, Achille, Ismaelchrist Carlotti, Nadir, Mario Luciani, Yang, Giorgio Colangeli, Nando",Grosso guaio all'Esquilino - La leggenda del Kung Fu, Released, Italian,76000000,152911218.6,IT
"Jeremy Renner: The Diane Sawyer Interview - A Story of Terror, Survival and Triumph",4/6/2023,0,"Documentary, TV Movie",Jeremy Renner sits down with Diane Sawyer for his first television interview since the critical snow plow accident that nearly cost him his life.,"Diane Sawyer, Self - Interviewer, Jeremy Renner, Self - Interviewee","Jeremy Renner: The Diane Sawyer Interview - A Story of Terror, Survival and Triumph", Released, English,141600000,175269998.8,US
Home for Rent,4/6/2023,60,"Horror, Drama, Thriller",A man becomes determined to protect his family from a dark cult whose members come in the guise of perfect tenants.,"Nittha Jirayungyurn, Ning, Sukollawat Kanarot, Kwin, Penpak Sirikul, Ratree, Thanyaphat Mayuraleela, Ing, Namfon Pakdee, Nuch, Suphithak Chatsuriyawong, Tom, Natniphaporm Ingamornrat, Aunty Phorn, Pawarisa Surathin, Jaa", ????????..???????, Released, Thai,100000000,360455238,TH
Stepping into Love,4/6/2023,0,"TV Movie, Comedy, Romance","When her art museum faces money problems, a conventional curator works with an avant garde artist to develop an unconventional exhibit. She learns to color outside the lines to save the museum and find love.","Christian Howard, , Jenna Michno, , Elizabeth D'Onofrio, Miss Joan, Madison Paige, Emma, Ricardo Burgos, Victor Mendez, Shane Costa, Tony, Tom Copeland, Troy Rimes, Renata Bresciani, Barista, Edward Kemper, Brad Cole",Stepping into Love, Released, English,246000000,178359863,DE
Corona Papers,4/6/2023,0,,We don't have an overview translated in English. Help us expand our database by adding one.,"Shane Nigam, , Shine Tom Chacko, , Siddique, , Maniyanpilla Raju, , Gayathrie Shankar, , Lal Jr., , V. T. Vijilesh, , Hannah Reji Koshy, , Sandhya Shetty, ", ????? ??????????, Post Production, Malayalam,223940000,178359863,IN
Mia,4/6/2023,75,Drama,We don't have an overview translated in English. Help us expand our database by adding one.,"Greta Gasbarri, Mia, Edoardo Leo, Sergio, Milena Mancini, Valeria, Riccardo Mandolini, Marco, Alessia Manicastri, , Vinicio Marchioni, , Giorgia Faraoni, Veronica",Mia, Released, Italian,127200000,564158441.4,IT
Olaf Jagger,4/6/2023,40,Comedy,We don't have an overview translated in English. Help us expand our database by adding one.,"Olaf Schubert, Self, Christian Lorenz, Flake Lorenz, Mick Jagger, Himself",Olaf Jagger, Released, German,101800000,567601271.2,DE
